timestamp	hr								ecg
2025-11-19 18:37:35.895000+00:00									-145
2025-11-19 18:17:43.886000+00:00									214,228,219,222,-172,-201,-113,41,154
2025-11-19 18:13:14.527000+00:00									-60,-80,-108,-143,-258,-330,-255,-352,-337
2025-11-19 18:46:11.719000+00:00									72,-55,-130,-156,-177,-164,-111,-151,-96,-150,-169,-156
2025-11-19 18:15:33.640000+00:00									-55,-67,-41,-76,-54,-143,-172,-172,-165,-156,93
2025-11-19 18:20:22.889000+00:00									-372,-376,-458,-488,-406,-154,196,197,196,196,196
2025-11-19 18:15:23.384000+00:00									-49,235,-103,-50,-171,-180,-186,-188,108,-172
2025-11-19 18:32:01.756000+00:00									-289,-184,-258,-226,-115,-208,-231,-237,-251,-289,-506
2025-11-19 18:43:35.140000+00:00									-421,-207,186,142,140,33,-43
2025-11-19 18:26:55.864000+00:00									-502,-155
2025-11-19 18:15:18.346000+00:00									-137,-181,-185,-153,-133,-112,-142,-75,-105,-133,-120,-137
2025-11-19 18:34:13.029000+00:00									-73,-97,167,-156,-120,-222,-234,-236,-224
2025-11-19 18:12:22.942000+00:00									-234,-293,-291,-366,-397,-175,188,189,188,185
2025-11-19 18:04:41.732000+00:00	72								-141,-133,-171,-204,-185,-201,-231,-226,-243,-233,-223
2025-11-19 18:10:32.763000+00:00									-316,-162
2025-11-19 18:29:22.902000+00:00	66								-10,-83,-133,-172,-142,-206,-267,-284,-287,-266,-250,-155
2025-11-19 18:18:29.345000+00:00									178,205,193,194,193,192,191,157,34,-62
2025-11-19 18:08:35.402000+00:00									-364,-143,-137,-184,-165
2025-11-19 18:20:02.886000+00:00									-279,-296,-338,-397,-383,-492,-429,-406,-389,-356,-244
2025-11-19 18:30:03.156000+00:00									-413,-506,-156,-368,-199,-227,-198,-119,-104
2025-11-19 18:34:18.045000+00:00									-119,-150,-227,-217,-198,-164,-154,-124,-51,-152,-138
2025-11-19 18:16:47.907000+00:00									-140,-146,-135,-112,-56,-136,-141,-149,-163
2025-11-19 18:16:57.897000+00:00									-162,-154,-74,-160,-144,-122,-96,123,-129,-32,-147
2025-11-19 18:26:31.714000+00:00									-235,-151,-154,-153,-154,-144,-222
2025-11-19 18:33:00.626000+00:00									-183
2025-11-19 18:28:52.241000+00:00	69								193,197,191,191,192,125,87,-431,-506,-155,-347
2025-11-19 18:29:12.996000+00:00									-214,-205,-180,-137,188,-64,34,-51,-23,2,16,25
